preprocessedSmiles,Molecule ChEMBL ID,pChEMBL Value,activity_classification
Brc1ccc2c(c1)CCC2=Cc1c[nH]cn1,CHEMBL174579,7.0,active
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL28,6.05,active
CC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CHEMBL306022,8.48,active
COc1ccc2nc3cc(Cl)ccc3c(Nc3cccnc3)c2c1,CHEMBL495567,7.12,active
O=[N+]([O-])c1ccc(C(c2cc3ccc(O)cc3o2)n2cncn2)cc1,CHEMBL202231,7.22,active
COc1ccc2cc(C(O)(c3ccc(Cl)cc3)c3cccnc3)oc2c1,CHEMBL202612,7.31,active
COc1ccc(C(c2cc3c(cc2O)OCO3)n2ccnc2)cc1,CHEMBL522733,7.26,active
CC12CCC3C(CC=C4C=CCCC43C)C1CCC2=O,CHEMBL71152,6.47,active
COc1cccc(-c2csc(-c3ncccn3)n2)c1,CHEMBL4228753,6.75,active
C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43C)[C@@H]1CCC2=O,CHEMBL1629806,6.72,active
C=CCC1=C2CC(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@@H]2C1,CHEMBL4575994,7.26,active
O=c1cc(Cn2ccnc2)c2ccc(Oc3ccccc3)cc2o1,CHEMBL437731,7.29,active
O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2o1,CHEMBL1688894,6.68,active
O=c1cc(Cn2ccnc2)c2ccc(OCc3cc(F)cc(F)c3)cc2o1,CHEMBL1688900,6.77,active
COc1cccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)c1,CHEMBL1688904,6.54,active
COc1c(OC)c(OC)c2c(c(C)cc(=O)n2C)c1OC,CHEMBL455593,6.12,active
COc1cc(OC)c2c(c(C)cc(=O)n2C)c1OC,CHEMBL449065,7.0,active
COc1ccc2c(c1)CCC1C(c3ccncc3)C21,CHEMBL67842,7.16,active
O=c1cc(OCCn2ccnc2)c2ccccc2o1,CHEMBL225178,6.12,active
CCn1ccc2cccc(C(c3ccc(Cl)cc3)n3ccnc3)c21,CHEMBL289945,7.26,active
COc1ccc2c(c1)C1C(CC2)C1c1ccncc1,CHEMBL294361,7.21,active
COc1c(C)c(OC)c2c(c1C=O)O[C@H](c1ccccc1)C[C@H]2O,CHEMBL3134110,6.0,active
O=C1CCc2cc(C(C3CC3)n3ccnc3)cc3c2N1CC3,CHEMBL2163639,6.64,active
O=C1CCc2cc(-c3cccnc3)cc(-c3ccsc3)c2N1,CHEMBL2165325,6.56,active
CN1C(=O)CCc2cc(-c3cccnc3)c(OC3CCCC3)cc21,CHEMBL2165319,7.66,active
N#Cc1ccc(N(Cc2cc(Cl)c(O)c(Cl)c2)n2cnnc2)cc1,CHEMBL226843,8.12,active
