preprocessedSmiles,Molecule ChEMBL ID,pChEMBL Value,activity_classification
COc1ccc2cc(-c3cccnc3)ccc2c1Br,CHEMBL196328,5.04,inactive
COc1ccc2c(Cc3cccc([N+](=O)[O-])c3)cncc2c1O,CHEMBL495777,5.85,inactive
COc1ccc(/C(=N/Nc2cnnc(Cl)c2Cl)c2ccccc2)cc1,CHEMBL497614,5.25,inactive
COc1ccc2c(=O)c(-c3ccccc3)c(-n3cncn3)oc2c1,CHEMBL190099,4.75,inactive
COc1ccc2c(=O)c(-c3ccccc3)c(SCc3cccnc3)oc2c1,CHEMBL185819,5.04,inactive
COc1ccccc1-c1csc(-c2ncccn2)n1,CHEMBL4224728,5.93,inactive
C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1630273,5.17,inactive
COc1c(OC)c(OC)c2c(C)cc(=O)[nH]c2c1OC,CHEMBL493182,5.25,inactive
C[C@H]1CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,CHEMBL1630276,5.75,inactive
CCCC(=O)OC1=C2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]3[C@@]2(C)CCC1,CHEMBL1630260,5.82,inactive
COc1cc2c(cc1Br)CCC1C(c3ccncc3)C21,CHEMBL419619,5.85,inactive
COc1ccc2c(c1)OC(c1ccc(OCC=C(C)C)cc1)CC2=O,CHEMBL228985,4.54,inactive
CCCCCCCCCCc1cn(C(c2ccccc2)c2ccccc2)nn1,CHEMBL1824759,4.87,inactive
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,CHEMBL1397,5.08,inactive
CC(C)=C(c1ccncc1)c1ccc(-c2cccc(O)c2)cc1,CHEMBL1173259,4.92,inactive
Brc1ccc2[nH]c(-c3ccccc3)cc2c1,CHEMBL4204862,4.4,inactive
Cn1c(-c2ccccc2)cc2cc([N+](=O)[O-])ccc21,CHEMBL4216885,5.41,inactive
CC(C)CC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL28669,5.52,inactive
Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F,CHEMBL1173260,5.57,inactive
COc1ccc2c(c1)[C@@H]1[C@H](CC2)[C@H]1c1ccncc1,CHEMBL2096872,5.0,inactive
C[C@]12CC[C@H]3[C@@H](CC=C4C(SCC#N)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,CHEMBL2113619,5.43,inactive
C[C@]12CC[C@H]3C(=CC4=Nc5ccccc5SC5C(=O)CC[C@@]3(C)C45)[C@@H]1CCC2=O,CHEMBL3754157,4.37,inactive
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC(=NOCCCn3ccnc3)C3[C@@H]4CC[C@H](OC(C)=O)[C@@]4(C)CC[C@@H]32)C1,CHEMBL3752381,4.92,inactive
CCCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,CHEMBL316262,5.18,inactive
CN(c1ccc(NC(=O)c2ccc3ccccc3c2)cc1OCc1ccccc1)S(C)(=O)=O,CHEMBL270283,5.97,inactive
COc1ccc(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,CHEMBL223369,5.11,inactive
Cc1ccc(COc2cc([N+](=O)[O-])ccc2N(C)S(C)(=O)=O)cc1,CHEMBL222260,5.63,inactive
COc1ccc(S(=O)(=O)NCc2cccc(CNS(=O)(=O)c3ccc(OC)cc3)c2)cc1,CHEMBL4531367,4.94,inactive
CCCCCCCc1cn(C(c2ccccc2)c2ccccc2)nn1,CHEMBL1824758,4.71,inactive
N#Cc1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,CHEMBL1824764,4.79,inactive
C=CCOC(=O)N1Cc2[nH]c3ccccc3c2CC1C(=O)OC,CHEMBL1915151,4.35,inactive
CCS(=O)(=O)N1CCN(c2ccc(/C=C/c3cc(F)cc(-c4ccncc4)c3)cc2)CC1,CHEMBL4126284,5.0,inactive
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,CHEMBL56367,4.57,inactive
COc1ccc(-c2c(-n3ccnc3)oc3cc(OC)ccc3c2=O)cc1,CHEMBL189472,5.7,inactive
CCC(=C(c1ccc(O)cc1)c1ccc(OCCN)cc1)c1ccccc1,CHEMBL2386284,5.99,inactive
CC(C)(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1,CHEMBL134169,4.46,inactive
CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)ccc1O,CHEMBL558103,4.39,inactive
COCOc1ccc2c(c1)OC(c1ccc(OC)c(CC=C(C)C)c1)CC2=O,CHEMBL425670,5.12,inactive
O=[N+]([O-])c1ccc(OCc2cn(-c3ccc(S(=O)(=O)NCCc4ccccc4)cc3)nn2)cc1,CHEMBL2430511,5.54,inactive
Cc1ccccc1OCc1cn(-c2ccc(S(=O)(=O)NCCc3ccccc3)cc2)nn1,CHEMBL2430512,5.47,inactive
COC(=O)c1ccccc1OCc1cn(-c2ccc(S(=O)(=O)N3CCc4cc(OC)c(OC)cc4C3)cc2)nn1,CHEMBL3264682,4.9,inactive
O=C(CCc1ccc(O)c(Cl)c1)NCc1csc(=O)[nH]1,CHEMBL4453737,4.66,inactive
S=C(NCc1cccc(CNC(=S)Nc2ccc(Cl)cc2)c1)Nc1ccc(Cl)cc1,CHEMBL2299369,5.26,inactive
CCN(CC)c1ccc2cc(-c3cnco3)c(=O)oc2c1,CHEMBL4087613,5.51,inactive
COc1ccc2c(c1)CCC(Cc1ccncc1)C2=O,CHEMBL88233,5.48,inactive
C[C@]12CC[C@H]3[C@@H](CCC4C(=O)C(=O)C(C#N)C[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL3623216,5.99,inactive
Oc1cccc(-c2csc(-c3ncccn3)n2)c1,CHEMBL4227979,5.52,inactive
CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12,CHEMBL311077,4.42,inactive
O=C1CCc2cc(Cc3cccnc3)cc3c2N1CC3,CHEMBL2312965,5.48,inactive
CC1=C[C@@H]2c3c(O)cc(-c4cc5ccc(O)cc5o4)cc3O[C@]3(c4ccc(O)cc4O)Oc4cc(O)ccc4[C@@H](C1)C23,CHEMBL454705,5.12,inactive
O=S(=O)(NCc1cccc(CNS(=O)(=O)c2ccc(F)cc2)c1)c1ccc(F)cc1,CHEMBL4536389,5.66,inactive
Oc1ccc(-c2csc(-c3ncccn3)n2)cc1,CHEMBL4227126,5.24,inactive
O=C1CC(c2cccc(O)c2)Oc2cc(O)ccc21,CHEMBL255110,5.47,inactive
COC(=O)C1Cc2c([nH]c3ccccc23)CN1CC(C)C,CHEMBL1915152,4.19,inactive
COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccc(Br)cc3)oc2c1,CHEMBL209047,5.39,inactive
COc1cc2c(C)cc(=O)n(C)c2c(OC)c1OC,CHEMBL492382,5.57,inactive
C[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,CHEMBL110524,5.25,inactive
Oc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,CHEMBL446706,5.84,inactive
