preprocessedSmiles,PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,144203554.0,Inactive
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](OC(=O)CSC#N)C2,144203555.0,Inactive
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,144203563.0,Inactive
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[PH](=O)(=O)O,144203569.0,Inactive
COC(=O)C1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,144203570.0,Inactive
OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,144203573.0,Inactive
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,144203577.0,Inactive
Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,144203578.0,Inactive
CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,144203579.0,Inactive
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,144203580.0,Inactive
CN(C)C1C(=O)C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,144203581.0,Inactive
CN1[C@H]2CC[C@@H]1CC(OC(=O)C(O)c1ccccc1)C2,144203585.0,Inactive
CN1[C@H]2CC(OC(=O)C(CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,144203586.0,Inactive
C[N+]1([O-])[C@H]2CC(OC(=O)C(CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,144203587.0,Inactive
C[N+]1(C)[C@H]2CC(OC(=O)C(CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,144203588.0,Inactive
