Scaffold,Active_Count,Inactive_Count,Total_Occurrence,Plot_Index
c1ccccc1,15,232,247,Scaffold A
,8,231,239,Scaffold B
c1ccc(Cc2ccccc2)cc1,2,32,34,Scaffold C
c1ccc(Oc2ccccc2)cc1,4,19,23,Scaffold D
c1ccc(-c2ccccc2)cc1,2,12,14,Scaffold E
c1ccc2ccccc2c1,1,13,14,Scaffold F
c1ccncc1,2,11,13,Scaffold G
c1c[nH+]c[nH]1,7,6,13,Scaffold H
O=C(c1ccccc1)c1ccccc1,0,12,12,Scaffold I
c1ccc2c(c1)CCC1C2CCC2CCCC21,1,10,11,Scaffold J
c1ccc(Nc2ccccc2)cc1,0,10,10,Scaffold K
c1ccc2ncccc2c1,1,9,10,Scaffold L
O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,0,9,9,Scaffold M
O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,0,9,9,Scaffold N
O=C(Nc1ccccc1)c1ccccc1,0,9,9,Scaffold O
C1CCC2C(C1)CCC1C3CCCC3CCC21,0,8,8,Scaffold P
O=S1(=O)NCNc2ccccc21,0,8,8,Scaffold Q
C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,0,8,8,Scaffold R
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1,6,7,Scaffold S
c1ccc2c(c1)Nc1ccccc1S2,0,7,7,Scaffold T
O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,1,6,7,Scaffold U
c1ccc2[nH]ccc2c1,0,7,7,Scaffold V
c1ncc2ncn(C3CCCO3)c2n1,1,6,7,Scaffold W
C1CCOCC1,0,7,7,Scaffold X
C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5,0,7,7,Scaffold Y
