preprocessedSmiles,MOLPORTID
Cc1nn(C)c(Oc2ccccc2)c1CCNC(=O)c1cccc(Cl)c1,MolPort-002-866-155
O=C(Nc1cccc(-c2cn3cccnc3n2)c1)c1ccc(Cl)cc1Cl,MolPort-002-863-909
Nc1c(-c2ccc(F)cc2)cnn1-c1ccc(Cc2ccc(Cl)cc2Cl)nn1,MolPort-002-853-054
Cc1nsc(N2CCC(n3cc(O)n(-c4ccccc4)c3=O)CC2)n1,MolPort-049-245-617
CCc1cnc(N2CCC(c3noc4cc(F)ccc34)CC2)nc1,MolPort-047-929-689
CSc1ccc2nc(N3CC(Cn4ccnc4)C3)sc2c1,MolPort-047-410-154
O=S(=O)(c1cccc2nsnc12)N1CCCC(COc2ncccn2)C1,MolPort-046-624-348
O=S(=O)(c1ccccc1C(F)(F)F)N1CC(Cn2ccnc2)C1,MolPort-047-408-074
COc1ccc(C2(CNC(=O)c3ccc4[nH]cnc4c3)CCOCC2)cc1,MolPort-019-829-920
O=C(Cc1c(F)cccc1Cl)N1CCC(Cn2ccnc2)CC1,MolPort-009-743-166
CC1(c2noc(-c3ccc(F)cc3)n2)CCCN(C(=O)Cc2ccsc2)C1,MolPort-044-649-008
COCCN(Cc1nccn1Cc1ccc(Cl)c(Cl)c1)C(=O)c1cccc(F)c1,MolPort-006-514-619
COc1ccc(C)cc1NC(=O)c1ccc(Cn2cc(Cl)cn2)cc1,MolPort-001-677-707
COc1ccc(C(=O)Nc2ccc(Cn3ccnc3)cc2)cc1OC,MolPort-002-025-171
COc1ccc(-c2cn3cccnc3n2)cc1NC(=O)c1ccc(Cl)cc1,MolPort-002-742-349
COc1ccc(-c2cn3cccnc3n2)cc1NC(=O)Nc1ccc(F)cc1,MolPort-002-739-912
CC1(c2ccc(Cl)cc2Cl)OCC(Cn2cncn2)O1,MolPort-009-765-985
CC(NC(=O)c1cc2cc(Cl)ccc2oc1=O)c1ccc(-n2ccnc2)cc1,MolPort-002-739-715
Cc1ccc(Cl)c(OCn2ccc(C(=O)NCc3ccccc3)n2)c1,MolPort-001-655-603
O=c1cc(Cn2ccnc2)c2cc(O)c(-c3ccccc3)cc2o1,MolPort-002-528-878
	
	
