PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,Type of compound activity based on both the aromatase antagonist mode readout and the cell viability counter screen.,Type of compound activity in the aromatase antagonist mode screen.,The concentration of sample yielding half-maximal inhibition of aromatase.,Percent inhibition of aromatase.,Type of compound activity in the cell viability counter screen.,The concentration of sample yielding half-maximal inhibition of cell viability.,Percent inhibition of cell viability.,Where sample was obtained.
RESULT_UNIT,,,,,,,,,,MICROMOLAR,PERCENT,,MICROMOLAR,PERCENT,
1,144203552,12850184,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
2,144203553,89753,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
3,144203554,9403,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
4,144203555,13218779,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
5,144203557,16043,CC(C)(C)C1=C(C=CC(=C1)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
6,144203561,637566,CC(=CCC/C(=C/CO)/C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,NCI
7,144203563,4766,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,0,,,inactive,inactive,,0,active antagonist,27.644,-51.4961,NCI
