"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL174579";"";"None";"275.15";"0";"3.66";"9b";"Brc1ccc2c(c1)CC/C2=C/c1c[nH]cn1";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"25.44";"0.60";"3.34";"24.41";"0";"CHEMBL828609";"In vitro inhibitory concentration against human placental cytochrome P450 19 with 2.5 uM testosterone";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144350";"1";"Scientific Literature";"J Med Chem";"2005";"None";""
"CHEMBL1825024";"";"None";"235.29";"0";"2.92";"28";"c1ccc(C(c2ccccc2)n2cncn2)cc1";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"25.32";"0.45";"3.04";"19.40";"0";"CHEMBL1828368";"Inhibition of aromatase using 7-methoxy-4-trifluoromethyl coumarin as substrate after 30 mins by fluorescence-based colorimetric analysis";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821589";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";""
"CHEMBL28";"APIGENIN";"None";"270.24";"0";"2.58";"Apigenin";"O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12";"IC50";"'='";"900.0";"nM";"6.05";"";"";"UO_0000065";"22.37";"0.41";"3.47";"6.65";"0";"CHEMBL1105634";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157768";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";""
"CHEMBL196328";"";"None";"314.18";"0";"4.67";"BDBM8911";"COc1ccc2cc(-c3cccnc3)ccc2c1Br";"IC50";"'='";"9107.0";"nM";"5.04";"";"384961";"UO_0000065";"16.04";"0.36";"0.37";"22.79";"0";"CHEMBL3888233";"CYP19 Inhibition Assay: The enzyme was obtained from the microsome fraction of fresh human placenta (St. Josephs Krankenhaus, Saarbrucken-Dudweiler, Germany) according to the method of Thompson and Siiteri (Thompson, E. A. & Siiteri, P. K., J. Biol. Chem. 249: 5364-5372 (1974)). The isolated microsomes were suspended in a mini mum volume of phosphate buffer (0.05 M; pH 7.4; 20% glycerol). In addition, DTT (10 mM) and EDTA (1 mM) were added to protect the enzyme from degradation reactions. The protein concentration was determined according to Lowry et al. (Lowry, O. H. et al., J. Biol. Chem. 193: 265-275 (1951)) and should be about 35 mg/ml after the processing.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886626";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL72538";"";"None";"384.65";"1";"7.89";"19e";"CCCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12";"IC50";"'>'";"50.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL661696";"In vitro inhibition of cytochrome P450 19A1 in human placental microsomes";"B";"BAO_0000251";"microsome format";"None";"None";"None";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL306022";"";"None";"302.50";"1";"5.34";"15b";"CC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12";"IC50";"'='";"3.3";"nM";"8.48";"";"";"UO_0000065";"28.04";"0.53";"3.14";"41.93";"0";"CHEMBL661696";"In vitro inhibition of cytochrome P450 19A1 in human placental microsomes";"B";"BAO_0000251";"microsome format";"None";"None";"None";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL495567";"";"None";"335.79";"1";"5.19";"9, NSC-12999";"COc1ccc2nc3cc(Cl)ccc3c(Nc3cccnc3)c2c1";"IC50";"'='";"76.0";"nM";"7.12";"";"";"UO_0000065";"21.20";"0.41";"1.93";"15.13";"0";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL495777";"";"None";"310.31";"0";"3.45";"11, NSC-131736";"COc1ccc2c(Cc3cccc([N+](=O)[O-])c3)cncc2c1O";"IC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"18.86";"0.35";"2.40";"6.85";"0";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
"CHEMBL163922";"";"None";"183.21";"0";"1.80";"T32";"N#Cc1cccc(Cn2ccnc2)c1";"IC50";"'='";"3715.35";"nM";"5.43";"";"";"UO_0000065";"29.64";"0.53";"3.63";"13.05";"0";"CHEMBL915480";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139479";"1";"Scientific Literature";"J Med Chem";"2005";"None";""
"CHEMBL497614";"";"None";"373.24";"0";"4.66";"14, NSC-75308";"COc1ccc(/C(=N/Nc2cnnc(Cl)c2Cl)c2ccccc2)cc1";"IC50";"'='";"5600.0";"nM";"5.25";"";"";"UO_0000065";"14.07";"0.29";"0.59";"8.84";"0";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";""
