preprocessedSmiles,Molecule ChEMBL ID,activity_classification
COc1ccc2cc(-c3cccnc3)ccc2c1Br,CHEMBL196328,inactive
COc1ccc2c(Cc3cccc([N+](=O)[O-])c3)cncc2c1O,CHEMBL495777,inactive
COc1ccc(C(=NNc2cnnc(Cl)c2Cl)c2ccccc2)cc1,CHEMBL497614,inactive
COc1ccc2c(=O)c(-c3ccccc3)c(-n3cncn3)oc2c1,CHEMBL190099,inactive
COc1ccc2c(=O)c(-c3ccccc3)c(SCc3cccnc3)oc2c1,CHEMBL185819,inactive
COc1ccccc1-c1csc(-c2ncccn2)n1,CHEMBL4224728,inactive
COc1c(OC)c(OC)c2c(C)cc(=O)[nH]c2c1OC,CHEMBL493182,inactive
CC1CCCC2(C)C1=CCC1C3CCC(=O)C3(C)CCC12,CHEMBL1630276,inactive
CCCC(=O)OC1=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)CCC1,CHEMBL1630260,inactive
COc1ccc2c(c1)OC(c1ccc(OCC=C(C)C)cc1)CC2=O,CHEMBL228985,inactive
CCCCCCCCCCc1cn(C(c2ccccc2)c2ccccc2)nn1,CHEMBL1824759,inactive
CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,CHEMBL1397,inactive
CC(C)=C(c1ccncc1)c1ccc(-c2cccc(O)c2)cc1,CHEMBL1173259,inactive
Brc1ccc2[nH]c(-c3ccccc3)cc2c1,CHEMBL4204862,inactive
Cn1c(-c2ccccc2)cc2cc([N+](=O)[O-])ccc21,CHEMBL4216885,inactive
CC(C)CC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL28669,inactive
Oc1ccc(-c2ccc(Cc3ccncc3)cc2)cc1F,CHEMBL1173260,inactive
CC12CCC3C(CC=C4C(SCC#N)C(=O)CCC43C)C1CCC2=O,CHEMBL2113619,inactive
CC12CCC3C(=CC4=Nc5ccccc5SC5C(=O)CCC3(C)C45)C1CCC2=O,CHEMBL3754157,inactive
CC(=O)OC1CCC2(C)C(=CC(=NOCCCn3ccnc3)C3C2CCC2(C)C(OC(C)=O)CCC32)C1,CHEMBL3752381,inactive
CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL316262,inactive
CN(c1ccc(NC(=O)c2ccc3ccccc3c2)cc1OCc1ccccc1)S(C)(=O)=O,CHEMBL270283,inactive
COc1ccc(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,CHEMBL223369,inactive
Cc1ccc(COc2cc([N+](=O)[O-])ccc2N(C)S(C)(=O)=O)cc1,CHEMBL222260,inactive
COc1ccc(S(=O)(=O)NCc2cccc(CNS(=O)(=O)c3ccc(OC)cc3)c2)cc1,CHEMBL4531367,inactive
CCCCCCCc1cn(C(c2ccccc2)c2ccccc2)nn1,CHEMBL1824758,inactive
N#Cc1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,CHEMBL1824764,inactive
